absoluto	6
abuelo	24
actual	7
adecuado	19
adulto	10
agradable	19
alegre	12
algo	6
alguien	13
alto	5
amable	25
amenazada	21
amenazado	10
animal	5
apto	3
atento	9
blanco	14
bueno	59
callado	3
chino	9
cierto	17
como	22
compatible	23
complicado	10
confiable	2
confiado	2
correcta	9
correcto	36
corto	3
cuidadoso	20
definido	12
determinado	5
diferente	32
dificil	22
disponible	15
distante	15
distinto	26
divertido	21
efectivo	6
ella	4
enorme	4
especial	1
esta	45
este	55
esto	21
femenino	19
fuerte	28
gordo	21
grande	19
guapo	16
hombre	25
homosexual	2
humano	25
ideal	4
inteligente	23
intenso	5
interesante	13
japones	7
largo	20
masculino	22
mayor	21
misterioso	6
mujer	24
nacional	13
nada	8
necesario	17
negativo	12
negro	6
nuevo	22
oficial	16
otro	8
pais	12
peligroso	12
persona	2
polaco	2
popular	7
posible	24
positivo	13
probable	6
raro	12
real	9
segura	16
seguro	5
serio	16
severo	4
sordo	12
tranquilo	14
verdad	5
viejo	23
vulnerable	1