[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	162	100.0	14244	100.0	1.6545099017950957	100.0
[TMP]	9	5.555555555555555	990	6.950294860994103	0.09397441660889468	5.6798944815582635
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	3	1.8518518518518519	252	1.7691659646166806	0.016157950144798424	0.9766003894728893
[QTY]	5	3.0864197530864197	511	3.5874754282504915	0.0773471353444247	4.67492731596863
[PER]	3	1.8518518518518519	50	0.35102499297950013	0.014193806797266006	0.8578858779791003
[MIND]	4	2.4691358024691357	123	0.8635214827295703	0.028153301043702023	1.70160970406744
[FEEL]	8	4.938271604938271	386	2.709912945801741	0.07657099281883954	4.628016594869708
[BODY]	16	9.876543209876543	2102	14.757090704858186	0.16762339146409402	10.13130180014199
[BEHA]	41	25.308641975308642	5351	37.5666947486661	0.5297698814409278	32.01974680635895
[???]	73	45.06172839506173	4479	31.44481887110362	0.6507190261321483	39.33001702958301